teacher_id,day,slot,available
T001,Sun,1,True
T001,Sun,2,False
T001,Sun,3,True
T001,Sun,4,True
T001,Sun,5,True
T001,Sun,6,True
T001,Sun,7,True
T001,Sun,8,False
T001,Mon,1,True
T001,Mon,2,True
T001,Mon,3,True
T001,Mon,4,False
T001,Mon,5,True
T001,Mon,6,True
T001,Mon,7,True
T001,Mon,8,True
T001,Tue,1,True
T001,Tue,2,True
T001,Tue,3,True
T001,Tue,4,True
T001,Tue,5,True
T001,Tue,6,True
T001,Tue,7,True
T001,Tue,8,True
T001,Wed,1,True
T001,Wed,2,True
T001,Wed,3,True
T001,Wed,4,True
T001,Wed,5,True
T001,Wed,6,True
T001,Wed,7,True
T001,Wed,8,True
T001,Thu,1,True
T001,Thu,2,False
T001,Thu,3,False
T001,Thu,4,True
T001,Thu,5,True
T001,Thu,6,True
T001,Thu,7,True
T001,Thu,8,True
T002,Sun,1,True
T002,Sun,2,True
T002,Sun,3,True
T002,Sun,4,False
T002,Sun,5,True
T002,Sun,6,True
T002,Sun,7,True
T002,Sun,8,True
T002,Mon,1,True
T002,Mon,2,True
T002,Mon,3,False
T002,Mon,4,True
T002,Mon,5,False
T002,Mon,6,False
T002,Mon,7,True
T002,Mon,8,False
T002,Tue,1,True
T002,Tue,2,True
T002,Tue,3,True
T002,Tue,4,True
T002,Tue,5,True
T002,Tue,6,True
T002,Tue,7,True
T002,Tue,8,True
T002,Wed,1,True
T002,Wed,2,True
T002,Wed,3,True
T002,Wed,4,True
T002,Wed,5,True
T002,Wed,6,False
T002,Wed,7,True
T002,Wed,8,True
T002,Thu,1,True
T002,Thu,2,True
T002,Thu,3,True
T002,Thu,4,True
T002,Thu,5,True
T002,Thu,6,True
T002,Thu,7,True
T002,Thu,8,True
T003,Sun,1,False
T003,Sun,2,True
T003,Sun,3,True
T003,Sun,4,True
T003,Sun,5,True
T003,Sun,6,True
T003,Sun,7,True
T003,Sun,8,True
T003,Mon,1,False
T003,Mon,2,True
T003,Mon,3,True
T003,Mon,4,True
T003,Mon,5,True
T003,Mon,6,True
T003,Mon,7,True
T003,Mon,8,True
T003,Tue,1,True
T003,Tue,2,True
T003,Tue,3,True
T003,Tue,4,True
T003,Tue,5,True
T003,Tue,6,True
T003,Tue,7,True
T003,Tue,8,True
T003,Wed,1,False
T003,Wed,2,True
T003,Wed,3,True
T003,Wed,4,True
T003,Wed,5,True
T003,Wed,6,True
T003,Wed,7,True
T003,Wed,8,True
T003,Thu,1,False
T003,Thu,2,True
T003,Thu,3,True
T003,Thu,4,False
T003,Thu,5,True
T003,Thu,6,True
T003,Thu,7,False
T003,Thu,8,True
T004,Sun,1,True
T004,Sun,2,False
T004,Sun,3,True
T004,Sun,4,True
T004,Sun,5,True
T004,Sun,6,True
T004,Sun,7,True
T004,Sun,8,False
T004,Mon,1,True
T004,Mon,2,True
T004,Mon,3,True
T004,Mon,4,True
T004,Mon,5,True
T004,Mon,6,True
T004,Mon,7,False
T004,Mon,8,True
T004,Tue,1,True
T004,Tue,2,True
T004,Tue,3,True
T004,Tue,4,False
T004,Tue,5,False
T004,Tue,6,True
T004,Tue,7,True
T004,Tue,8,True
T004,Wed,1,True
T004,Wed,2,True
T004,Wed,3,True
T004,Wed,4,True
T004,Wed,5,True
T004,Wed,6,True
T004,Wed,7,False
T004,Wed,8,True
T004,Thu,1,True
T004,Thu,2,True
T004,Thu,3,False
T004,Thu,4,True
T004,Thu,5,True
T004,Thu,6,True
T004,Thu,7,True
T004,Thu,8,True
T005,Sun,1,True
T005,Sun,2,True
T005,Sun,3,True
T005,Sun,4,True
T005,Sun,5,True
T005,Sun,6,True
T005,Sun,7,True
T005,Sun,8,True
T005,Mon,1,True
T005,Mon,2,True
T005,Mon,3,True
T005,Mon,4,True
T005,Mon,5,True
T005,Mon,6,True
T005,Mon,7,True
T005,Mon,8,True
T005,Tue,1,True
T005,Tue,2,True
T005,Tue,3,False
T005,Tue,4,True
T005,Tue,5,True
T005,Tue,6,True
T005,Tue,7,False
T005,Tue,8,False
T005,Wed,1,True
T005,Wed,2,True
T005,Wed,3,True
T005,Wed,4,True
T005,Wed,5,True
T005,Wed,6,True
T005,Wed,7,True
T005,Wed,8,False
T005,Thu,1,False
T005,Thu,2,True
T005,Thu,3,True
T005,Thu,4,True
T005,Thu,5,True
T005,Thu,6,False
T005,Thu,7,False
T005,Thu,8,True
T006,Sun,1,True
T006,Sun,2,True
T006,Sun,3,True
T006,Sun,4,False
T006,Sun,5,True
T006,Sun,6,True
T006,Sun,7,True
T006,Sun,8,True
T006,Mon,1,True
T006,Mon,2,True
T006,Mon,3,True
T006,Mon,4,True
T006,Mon,5,True
T006,Mon,6,True
T006,Mon,7,True
T006,Mon,8,True
T006,Tue,1,True
T006,Tue,2,True
T006,Tue,3,True
T006,Tue,4,True
T006,Tue,5,True
T006,Tue,6,True
T006,Tue,7,True
T006,Tue,8,True
T006,Wed,1,True
T006,Wed,2,True
