subject,teacher_id,room_id,day,slot,confidence
islamic,T486,A-CR-040,Sun,8,0.5
arabic,T349,A-CR-082,Mon,3,0.5
arabic,T354,A-CR-083,Mon,3,0.5
islamic,T382,A-CR-084,Mon,3,0.5
islamic,T382,A-CR-007,Mon,4,0.5
islamic,T486,A-CR-061,Mon,4,0.5
islamic,T046,A-CR-062,Mon,4,0.5
social,T286,A-CR-063,Mon,4,0.5
social,T264,A-CR-084,Mon,7,0.5
arabic,T349,A-CR-075,Tue,3,0.5
islamic,T382,A-CR-076,Tue,3,0.5
islamic,T382,A-CR-005,Tue,4,0.5
islamic,T486,A-CR-056,Tue,4,0.5
arabic,T349,A-CR-062,Wed,3,0.5
islamic,T382,A-CR-063,Wed,3,0.5
islamic,T486,A-CR-049,Wed,4,0.5
social,T321,A-CR-086,Thu,1,0.5
islamic,T382,A-CR-056,Thu,3,0.5
islamic,T486,A-CR-044,Thu,4,0.5
arabic,T349,A-CR-020,Thu,7,0.5
