subject,teacher_id,room_id,day,slot,confidence
islamic,T318,A-CR-015,Sun,4,0.5
islamic,T318,A-CR-012,Mon,4,0.5
islamic,T232,A-CR-078,Mon,4,0.5
social,T225,A-CR-079,Mon,4,0.5
social,T128,A-CR-089,Mon,7,0.5
islamic,T143,A-CR-030,Mon,8,0.5
islamic,T318,A-CR-011,Tue,4,0.5
islamic,T232,A-CR-069,Tue,4,0.5
arabic,T232,A-CR-023,Tue,7,0.5
islamic,T143,A-CR-024,Tue,8,0.5
arabic,T232,A-CR-082,Wed,3,0.5
islamic,T318,A-CR-083,Wed,3,0.5
social,T275,A-CR-084,Wed,3,0.5
islamic,T318,A-CR-006,Wed,4,0.5
arabic,T232,A-CR-023,Wed,7,0.5
arabic,T232,A-CR-071,Thu,3,0.5
islamic,T318,A-CR-072,Thu,3,0.5
islamic,T143,A-CR-051,Thu,4,0.5
arabic,T232,A-CR-024,Thu,7,0.5
islamic,T143,A-CR-006,Thu,8,0.5
