class_id,grade,building,gender,total_periods_scheduled,unique_subjects,teachers_used,avg_confidence,coverage_rate
G1-B01,1,A,Boys,20,3,6,0.5,48.78048780487805
G1-B02,1,A,Boys,20,3,6,0.5,48.78048780487805
G1-B03,1,A,Boys,20,3,8,0.5,48.78048780487805
G1-B04,1,A,Boys,20,3,7,0.5,48.78048780487805
G1-B05,1,A,Boys,20,3,8,0.5,48.78048780487805
G1-B06,1,A,Boys,20,3,8,0.5,48.78048780487805
G1-B07,1,A,Boys,20,3,8,0.5,48.78048780487805
G1-B08,1,A,Boys,20,3,8,0.5,48.78048780487805
G1-B09,1,A,Boys,20,3,8,0.5,48.78048780487805
G1-B10,1,A,Boys,20,3,8,0.5,48.78048780487805
G1-G01,1,A,Girls,20,3,6,0.5,48.78048780487805
G1-G02,1,A,Girls,20,3,6,0.5,48.78048780487805
G1-G03,1,A,Girls,20,3,8,0.5,48.78048780487805
G1-G04,1,A,Girls,20,3,8,0.5,48.78048780487805
G1-G05,1,A,Girls,20,3,6,0.5,48.78048780487805
G1-G06,1,A,Girls,20,3,9,0.5,48.78048780487805
G1-G07,1,A,Girls,20,3,6,0.5,48.78048780487805
G1-G08,1,A,Girls,20,3,6,0.5,48.78048780487805
G1-G09,1,A,Girls,20,3,11,0.5,48.78048780487805
G1-G10,1,A,Girls,20,3,7,0.5,48.78048780487805
G2-B01,2,A,Boys,39,4,18,0.5,95.1219512195122
G2-B02,2,A,Boys,30,3,13,0.5,73.17073170731707
G2-B03,2,A,Boys,25,3,8,0.5,60.97560975609756
G2-B04,2,A,Boys,25,3,9,0.5,60.97560975609756
G2-B05,2,A,Boys,25,3,9,0.5,60.97560975609756
G2-B06,2,A,Boys,23,3,8,0.5,56.09756097560976
G2-B07,2,A,Boys,20,3,6,0.5,48.78048780487805
G2-B08,2,A,Boys,20,3,6,0.5,48.78048780487805
G2-B09,2,A,Boys,20,3,6,0.5,48.78048780487805
G2-B10,2,A,Boys,20,3,6,0.5,48.78048780487805
G2-G01,2,A,Girls,37,4,15,0.5,90.2439024390244
G2-G02,2,A,Girls,35,4,14,0.5,85.36585365853658
G2-G03,2,A,Girls,23,4,9,0.5,56.09756097560976
G2-G04,2,A,Girls,20,3,6,0.5,48.78048780487805
G2-G05,2,A,Girls,20,3,6,0.5,48.78048780487805
G2-G06,2,A,Girls,20,3,6,0.5,48.78048780487805
G2-G07,2,A,Girls,20,3,6,0.5,48.78048780487805
G2-G08,2,A,Girls,20,3,6,0.5,48.78048780487805
G2-G09,2,A,Girls,20,3,6,0.5,48.78048780487805
G2-G10,2,A,Girls,20,3,6,0.5,48.78048780487805
G3-B01,3,A,Boys,40,4,12,0.5,97.5609756097561
G3-B02,3,A,Boys,40,4,12,0.5,97.5609756097561
G3-B03,3,A,Boys,40,4,11,0.5,97.5609756097561
G3-B04,3,A,Boys,40,4,12,0.5,97.5609756097561
G3-B05,3,A,Boys,40,4,12,0.5,97.5609756097561
G3-B06,3,A,Boys,40,4,14,0.5,97.5609756097561
G3-B07,3,A,Boys,40,4,13,0.5,97.5609756097561
G3-B08,3,A,Boys,40,4,13,0.5,97.5609756097561
G3-B09,3,A,Boys,40,4,14,0.5,97.5609756097561
G3-B10,3,A,Boys,40,4,14,0.5,97.5609756097561
G3-G01,3,A,Girls,40,4,13,0.5,97.5609756097561
G3-G02,3,A,Girls,40,4,12,0.5,97.5609756097561
G3-G03,3,A,Girls,40,4,14,0.5,97.5609756097561
G3-G04,3,A,Girls,40,4,12,0.5,97.5609756097561
G3-G05,3,A,Girls,40,4,12,0.5,97.5609756097561
G3-G06,3,A,Girls,40,4,13,0.5,97.5609756097561
G3-G07,3,A,Girls,40,4,15,0.5,97.5609756097561
G3-G08,3,A,Girls,40,4,13,0.5,97.5609756097561
G3-G09,3,A,Girls,40,4,13,0.5,97.5609756097561
G3-G10,3,A,Girls,40,4,15,0.5,97.5609756097561
G4-B01,4,A,Boys,52,7,21,0.5,115.55555555555554
G4-B02,4,A,Boys,49,7,21,0.5,108.88888888888889
G4-B03,4,A,Boys,41,7,15,0.5,91.11111111111111
G4-B04,4,A,Boys,39,7,13,0.5,86.66666666666667
G4-B05,4,A,Boys,39,7,14,0.5,86.66666666666667
G4-G01,4,A,Girls,49,7,16,0.5,108.88888888888889
G4-G02,4,A,Girls,48,7,17,0.5,106.66666666666667
G4-G03,4,A,Girls,48,7,16,0.5,106.66666666666667
G4-G04,4,A,Girls,48,7,17,0.5,106.66666666666667
G4-G05,4,A,Girls,48,7,16,0.5,106.66666666666667
G4-G06,4,B,Girls,8,1,5,0.5,17.77777777777778
G5-B01,5,A,Boys,54,9,21,0.5,120.0
G5-B02,5,A,Boys,54,9,21,0.5,120.0
G5-B03,5,A,Boys,54,9,20,0.5,120.0
G5-B04,5,A,Boys,54,9,19,0.5,120.0
G5-B05,5,A,Boys,52,7,18,0.5,115.55555555555554
G5-B06,5,B,Boys,6,2,3,0.5,13.333333333333334
G5-B07,5,B,Boys,5,1,2,0.5,11.11111111111111
G5-B08,5,B,Boys,5,1,1,0.5,11.11111111111111
G5-B09,5,B,Boys,5,1,1,0.5,11.11111111111111
G5-B10,5,B,Boys,5,1,3,0.5,11.11111111111111
G5-G01,5,A,Girls,54,9,20,0.5,120.0
G5-G02,5,A,Girls,52,7,18,0.5,115.55555555555554
G5-G03,5,A,Girls,52,7,16,0.5,115.55555555555554
G5-G04,5,A,Girls,52,7,17,0.5,115.55555555555554
G5-G05,5,A,Girls,52,7,18,0.5,115.55555555555554
G5-G06,5,B,Girls,14,2,5,0.5,31.11111111111111
G5-G07,5,B,Girls,14,2,7,0.5,31.11111111111111
G5-G08,5,B,Girls,9,1,5,0.5,20.0
G5-G09,5,B,Girls,9,1,2,0.5,20.0
G5-G10,5,B,Girls,9,1,3,0.5,20.0
G6-B01,6,A,Boys,67,11,26,0.5,148.88888888888889
G6-B02,6,A,Boys,67,11,24,0.5,148.88888888888889
G6-B03,6,A,Boys,66,10,23,0.5,146.66666666666666
G6-B04,6,A,Boys,66,10,21,0.5,146.66666666666666
G6-B05,6,A,Boys,66,10,23,0.5,146.66666666666666
G6-B06,6,B,Boys,14,2,5,0.5,31.11111111111111
G6-B07,6,B,Boys,14,2,3,0.5,31.11111111111111
G6-B08,6,B,Boys,14,2,3,0.5,31.11111111111111
G6-B09,6,B,Boys,14,2,4,0.5,31.11111111111111
G6-B10,6,B,Boys,14,2,6,0.5,31.11111111111111
G6-G01,6,A,Girls,85,12,31,0.5,188.88888888888889
G6-G02,6,A,Girls,79,12,29,0.5,175.55555555555554
G6-G03,6,A,Girls,69,11,25,0.5,153.33333333333334
G6-G04,6,A,Girls,64,10,25,0.5,142.22222222222223
G6-G05,6,A,Girls,62,9,23,0.5,137.77777777777777
G6-G06,6,B,Girls,14,2,3,0.5,31.11111111111111
G6-G07,6,B,Girls,14,2,4,0.5,31.11111111111111
G6-G08,6,B,Girls,14,2,3,0.5,31.11111111111111
G6-G09,6,B,Girls,14,2,4,0.5,31.11111111111111
G6-G10,6,B,Girls,14,2,4,0.5,31.11111111111111
G7-B01,7,B,Boys,72,12,23,0.5,160.0
G7-B02,7,B,Boys,72,12,23,0.5,160.0
G7-B03,7,B,Boys,72,12,29,0.5,160.0
G7-B04,7,B,Boys,63,12,23,0.5,140.0
G7-B05,7,B,Boys,59,12,20,0.5,131.11111111111111
G7-B06,7,B,Boys,58,12,20,0.5,128.88888888888889
G7-G01,7,B,Girls,60,13,19,0.5,133.33333333333331
G7-G02,7,B,Girls,60,13,19,0.5,133.33333333333331
G7-G03,7,B,Girls,58,12,18,0.5,128.88888888888889
G7-G04,7,B,Girls,58,12,18,0.5,128.88888888888889
G7-G05,7,B,Girls,58,12,19,0.5,128.88888888888889
G7-G06,7,B,Girls,57,12,17,0.5,126.66666666666666
G8-B01,8,B,Boys,82,15,24,0.5,182.22222222222223
G8-B02,8,B,Boys,81,15,25,0.5,180.0
G8-B03,8,B,Boys,76,15,23,0.5,168.88888888888889
G8-B04,8,B,Boys,74,14,23,0.5,164.44444444444443
G8-B05,8,B,Boys,74,14,23,0.5,164.44444444444443
G8-B06,8,B,Boys,74,14,23,0.5,164.44444444444443
G8-G01,8,B,Girls,77,14,28,0.5,171.11111111111111
G8-G02,8,B,Girls,74,14,24,0.5,164.44444444444443
G8-G03,8,B,Girls,73,13,24,0.5,162.22222222222223
G8-G04,8,B,Girls,73,13,25,0.5,162.22222222222223
G8-G05,8,B,Girls,73,13,22,0.5,162.22222222222223
G8-G06,8,B,Girls,73,13,26,0.5,162.22222222222223
G9-B01,9,B,Boys,94,15,27,0.5,208.8888888888889
G9-B02,9,B,Boys,94,15,26,0.5,208.8888888888889
G9-B03,9,B,Boys,94,15,27,0.5,208.8888888888889
G9-B04,9,B,Boys,92,15,28,0.5,204.44444444444443
G9-B05,9,B,Boys,89,15,31,0.5,197.77777777777777
G9-B06,9,B,Boys,82,15,25,0.5,182.22222222222223
G9-G01,9,B,Girls,91,15,27,0.5,202.22222222222223
G9-G02,9,B,Girls,90,15,25,0.5,200.0
G9-G03,9,B,Girls,90,15,25,0.5,200.0
G9-G04,9,B,Girls,90,15,26,0.5,200.0
G9-G05,9,B,Girls,90,15,26,0.5,200.0
G9-G06,9,B,Girls,90,15,32,0.5,200.0
