class_id,teacher_id,subject,room_id,day,slot,confidence
G1-B01,T055,math,A-CR-001,Sun,1,0.6
G1-B01,T055,math,A-CR-001,Mon,1,0.6
G1-B01,T055,math,A-CR-001,Tue,1,0.6
G1-B01,T055,math,A-CR-001,Wed,1,0.6
G1-B01,T055,math,A-CR-001,Thu,1,0.6
G1-B01,T055,math,A-CR-001,Sun,2,0.6
G1-B01,T055,math,A-CR-001,Mon,2,0.6
G1-B01,T055,math,A-CR-001,Tue,2,0.6
G1-B01,T055,math,A-CR-001,Wed,2,0.6
G1-B01,T041,science,A-LAB-01,Sun,1,0.6
G1-B01,T041,science,A-LAB-01,Mon,1,0.6
G1-B01,T041,science,A-LAB-01,Tue,1,0.6
G1-B01,T041,science,A-LAB-01,Wed,1,0.6
G1-B01,T041,science,A-LAB-01,Thu,1,0.6
G1-B01,T042,arabic,A-CR-001,Sun,1,0.6
G1-B01,T042,arabic,A-CR-001,Mon,1,0.6
G1-B01,T042,arabic,A-CR-001,Tue,1,0.6
G1-B01,T042,arabic,A-CR-001,Wed,1,0.6
G1-B01,T042,arabic,A-CR-001,Thu,1,0.6
G1-B01,T046,islamic,A-CR-001,Sun,1,0.6
G1-B01,T046,islamic,A-CR-001,Mon,1,0.6
G1-B01,T046,islamic,A-CR-001,Tue,1,0.6
G1-B01,T046,islamic,A-CR-001,Wed,1,0.6
G1-B01,T046,islamic,A-CR-001,Thu,1,0.6
G1-B01,T046,islamic,A-CR-001,Sun,2,0.6
G1-B01,T001,pe,A-PG-01,Sun,1,0.6
G1-B01,T019,art,A-CR-001,Sun,1,0.6
G1-B01,T003,library,A-LIB-01,Sun,1,0.6
G1-B01,T039,english,A-CR-001,Sun,1,0.6
G1-B01,T039,english,A-CR-001,Mon,1,0.6
G1-B01,T039,english,A-CR-001,Tue,1,0.6
G1-B01,T039,english,A-CR-001,Wed,1,0.6
G1-B01,T039,english,A-CR-001,Thu,1,0.6
G1-B01,T039,english,A-CR-001,Sun,2,0.6
G1-B01,T039,english,A-CR-001,Mon,2,0.6
G1-B01,T039,english,A-CR-001,Tue,2,0.6
G1-B01,T039,english,A-CR-001,Wed,2,0.6
G1-B01,T007,french,A-CR-001,Sun,1,0.6
G1-B01,T021,computer,A-LAB-01,Sun,1,0.6
G1-B01,T033,music,A-CR-001,Sun,1,0.6
G1-B01,T043,social,A-CR-001,Sun,1,0.6
G1-B02,T067,math,A-CR-001,Sun,1,0.6
G1-B02,T067,math,A-CR-001,Mon,1,0.6
G1-B02,T067,math,A-CR-001,Tue,1,0.6
G1-B02,T067,math,A-CR-001,Wed,1,0.6
G1-B02,T067,math,A-CR-001,Thu,1,0.6
G1-B02,T067,math,A-CR-001,Sun,2,0.6
G1-B02,T067,math,A-CR-001,Mon,2,0.6
G1-B02,T067,math,A-CR-001,Tue,2,0.6
G1-B02,T067,math,A-CR-001,Wed,2,0.6
G1-B02,T045,science,A-LAB-01,Sun,1,0.6
G1-B02,T045,science,A-LAB-01,Mon,1,0.6
G1-B02,T045,science,A-LAB-01,Tue,1,0.6
G1-B02,T045,science,A-LAB-01,Wed,1,0.6
G1-B02,T045,science,A-LAB-01,Thu,1,0.6
G1-B02,T050,arabic,A-CR-001,Sun,1,0.6
G1-B02,T050,arabic,A-CR-001,Mon,1,0.6
G1-B02,T050,arabic,A-CR-001,Tue,1,0.6
G1-B02,T050,arabic,A-CR-001,Wed,1,0.6
G1-B02,T050,arabic,A-CR-001,Thu,1,0.6
G1-B02,T056,islamic,A-CR-001,Sun,1,0.6
G1-B02,T056,islamic,A-CR-001,Mon,1,0.6
G1-B02,T056,islamic,A-CR-001,Tue,1,0.6
G1-B02,T056,islamic,A-CR-001,Wed,1,0.6
G1-B02,T056,islamic,A-CR-001,Thu,1,0.6
G1-B02,T056,islamic,A-CR-001,Sun,2,0.6
G1-B02,T005,pe,A-PG-01,Sun,1,0.6
G1-B02,T023,art,A-CR-001,Sun,1,0.6
G1-B02,T013,library,A-LIB-01,Sun,1,0.6
G1-B02,T057,english,A-CR-001,Sun,1,0.6
G1-B02,T057,english,A-CR-001,Mon,1,0.6
G1-B02,T057,english,A-CR-001,Tue,1,0.6
G1-B02,T057,english,A-CR-001,Wed,1,0.6
G1-B02,T057,english,A-CR-001,Thu,1,0.6
G1-B02,T057,english,A-CR-001,Sun,2,0.6
