class_id,day,slot,building,grade,lab_required,playground_required,music_required,computer_required,library_required,classroom_required,available_classrooms,available_labs,available_music,available_computers,available_playgrounds,available_libraries,room_utilization_pressure
G1-B01,Sunday,1,A,1,6,1,0,0,1,33,90,2,3,9,3,1,0.4444444444444444
G1-B01,Sunday,2,A,1,6,1,0,0,1,33,90,2,3,9,3,1,0.4444444444444444
G1-B01,Sunday,3,A,1,6,1,0,0,1,33,90,2,3,9,3,1,0.4444444444444444
G1-B01,Sunday,4,A,1,6,1,0,0,1,33,90,2,3,9,3,1,0.4444444444444444
G1-B01,Sunday,5,A,1,6,1,0,0,1,33,90,2,3,9,3,1,0.4444444444444444
G1-B01,Sunday,6,A,1,6,1,0,0,1,33,90,2,3,9,3,1,0.4444444444444444
G1-B01,Sunday,7,A,1,6,1,0,0,1,33,90,2,3,9,3,1,0.4444444444444444
G1-B01,Sunday,8,A,1,6,1,0,0,1,33,90,2,3,9,3,1,0.4444444444444444
G1-B01,Monday,1,A,1,6,1,0,0,1,33,90,2,3,9,3,1,0.4444444444444444
G1-B01,Monday,2,A,1,6,1,0,0,1,33,90,2,3,9,3,1,0.4444444444444444
G1-B01,Monday,3,A,1,6,1,0,0,1,33,90,2,3,9,3,1,0.4444444444444444
G1-B01,Monday,4,A,1,6,1,0,0,1,33,90,2,3,9,3,1,0.4444444444444444
G1-B01,Monday,5,A,1,6,1,0,0,1,33,90,2,3,9,3,1,0.4444444444444444
G1-B01,Monday,6,A,1,6,1,0,0,1,33,90,2,3,9,3,1,0.4444444444444444
G1-B01,Monday,7,A,1,6,1,0,0,1,33,90,2,3,9,3,1,0.4444444444444444
G1-B01,Monday,8,A,1,6,1,0,0,1,33,90,2,3,9,3,1,0.4444444444444444
G1-B01,Tuesday,1,A,1,6,1,0,0,1,33,90,2,3,9,3,1,0.4444444444444444
G1-B01,Tuesday,2,A,1,6,1,0,0,1,33,90,2,3,9,3,1,0.4444444444444444
G1-B01,Tuesday,3,A,1,6,1,0,0,1,33,90,2,3,9,3,1,0.4444444444444444
G1-B01,Tuesday,4,A,1,6,1,0,0,1,33,90,2,3,9,3,1,0.4444444444444444
G1-B01,Tuesday,5,A,1,6,1,0,0,1,33,90,2,3,9,3,1,0.4444444444444444
G1-B01,Tuesday,6,A,1,6,1,0,0,1,33,90,2,3,9,3,1,0.4444444444444444
G1-B01,Tuesday,7,A,1,6,1,0,0,1,33,90,2,3,9,3,1,0.4444444444444444
G1-B01,Tuesday,8,A,1,6,1,0,0,1,33,90,2,3,9,3,1,0.4444444444444444
G1-B01,Wednesday,1,A,1,6,1,0,0,1,33,90,2,3,9,3,1,0.4444444444444444
G1-B01,Wednesday,2,A,1,6,1,0,0,1,33,90,2,3,9,3,1,0.4444444444444444
G1-B01,Wednesday,3,A,1,6,1,0,0,1,33,90,2,3,9,3,1,0.4444444444444444
G1-B01,Wednesday,4,A,1,6,1,0,0,1,33,90,2,3,9,3,1,0.4444444444444444
G1-B01,Wednesday,5,A,1,6,1,0,0,1,33,90,2,3,9,3,1,0.4444444444444444
G1-B01,Wednesday,6,A,1,6,1,0,0,1,33,90,2,3,9,3,1,0.4444444444444444
G1-B01,Wednesday,7,A,1,6,1,0,0,1,33,90,2,3,9,3,1,0.4444444444444444
G1-B01,Wednesday,8,A,1,6,1,0,0,1,33,90,2,3,9,3,1,0.4444444444444444
G1-B01,Thursday,1,A,1,6,1,0,0,1,33,90,2,3,9,3,1,0.4444444444444444
G1-B01,Thursday,2,A,1,6,1,0,0,1,33,90,2,3,9,3,1,0.4444444444444444
G1-B01,Thursday,3,A,1,6,1,0,0,1,33,90,2,3,9,3,1,0.4444444444444444
G1-B01,Thursday,4,A,1,6,1,0,0,1,33,90,2,3,9,3,1,0.4444444444444444
G1-B01,Thursday,5,A,1,6,1,0,0,1,33,90,2,3,9,3,1,0.4444444444444444
G1-B01,Thursday,6,A,1,6,1,0,0,1,33,90,2,3,9,3,1,0.4444444444444444
G1-B01,Thursday,7,A,1,6,1,0,0,1,33,90,2,3,9,3,1,0.4444444444444444
G1-B01,Thursday,8,A,1,6,1,0,0,1,33,90,2,3,9,3,1,0.4444444444444444
G1-B02,Sunday,1,A,1,6,1,0,0,1,33,90,2,3,9,3,1,0.4444444444444444
G1-B02,Sunday,2,A,1,6,1,0,0,1,33,90,2,3,9,3,1,0.4444444444444444
G1-B02,Sunday,3,A,1,6,1,0,0,1,33,90,2,3,9,3,1,0.4444444444444444
G1-B02,Sunday,4,A,1,6,1,0,0,1,33,90,2,3,9,3,1,0.4444444444444444
G1-B02,Sunday,5,A,1,6,1,0,0,1,33,90,2,3,9,3,1,0.4444444444444444
