class_id,teacher_id,subject,room_id,day,slot,confidence
G9-B01,T055,math,B-CR-001,Sun,1,0.5
G9-B01,T055,math,B-CR-001,Mon,1,0.5
G9-B01,T055,math,B-CR-001,Tue,1,0.5
G9-B01,T055,math,B-CR-001,Wed,1,0.5
G9-B01,T055,math,B-CR-001,Thu,1,0.5
G9-B01,T055,math,B-CR-001,Sun,2,0.5
G9-B01,T055,math,B-CR-001,Mon,2,0.5
G9-B01,T055,math,B-CR-001,Tue,2,0.5
G9-B01,T055,math,B-CR-001,Thu,2,0.5
G9-B01,T041,science,B-LAB-01,Sun,1,0.5
G9-B01,T041,science,B-LAB-01,Mon,1,0.5
G9-B01,T041,science,B-LAB-01,Wed,1,0.5
G9-B01,T041,science,B-LAB-01,Thu,1,0.5
G9-B01,T041,science,B-LAB-01,Sun,2,0.5
G9-B01,T041,science,B-LAB-01,Mon,2,0.5
G9-B01,T041,science,B-LAB-01,Tue,2,0.5
G9-B01,T042,arabic,B-CR-002,Sun,1,0.5
G9-B01,T042,arabic,B-CR-002,Mon,1,0.5
G9-B01,T042,arabic,B-CR-002,Tue,1,0.5
G9-B01,T042,arabic,B-CR-001,Sun,6,0.5
G9-B01,T046,islamic,B-CR-001,Sun,5,0.5
G9-B01,T046,islamic,B-CR-001,Mon,5,0.5
G9-B01,T046,islamic,B-CR-001,Tue,5,0.5
G9-B01,T046,islamic,B-CR-001,Wed,5,0.5
G9-B01,T039,english,B-CR-002,Mon,2,0.5
G9-B01,T039,english,B-CR-002,Tue,2,0.5
G9-B01,T039,english,B-CR-001,Wed,2,0.5
G9-B01,T039,english,B-CR-001,Sun,7,0.5
G9-B01,T039,english,B-CR-001,Mon,7,0.5
G9-B01,T039,english,B-CR-001,Tue,7,0.5
G9-B01,T039,english,B-CR-001,Thu,7,0.5
G9-B01,T057,english,B-CR-002,Sun,2,0.5
G9-B01,T057,english,B-CR-003,Mon,2,0.5
G9-B01,T054,history,B-CR-002,Mon,5,0.5
G9-B01,T054,history,B-CR-002,Tue,5,0.5
G9-B01,T058,geography,B-CR-002,Sun,5,0.5
G9-B01,T058,geography,B-CR-003,Mon,5,0.5
G9-B01,T001,library,B-LIB-01,Sun,1,0.5
G9-B01,T007,french,B-CR-001,Mon,6,0.5
G9-B01,T021,computer,B-CR-001,Sun,4,0.5
G9-B01,T043,social,B-CR-003,Sun,5,0.5
G9-B01,T031,chinese,B-CR-002,Sun,6,0.5
G9-B01,T003,pe,B-PG-01,Sun,3,0.5
G9-B01,T019,art,B-CR-003,Sun,6,0.5
G9-B01,T033,music,B-CR-004,Sun,6,0.5
G9-B02,T067,math,B-CR-003,Sun,1,0.5
G9-B02,T067,math,B-CR-003,Mon,1,0.5
G9-B02,T067,math,B-CR-003,Tue,1,0.5
G9-B02,T067,math,B-CR-002,Wed,1,0.5
G9-B02,T067,math,B-CR-002,Thu,1,0.5
G9-B02,T067,math,B-CR-003,Sun,2,0.5
G9-B02,T067,math,B-CR-004,Mon,2,0.5
G9-B02,T067,math,B-CR-002,Wed,2,0.5
G9-B02,T067,math,B-CR-002,Thu,2,0.5
G9-B02,T045,science,B-LAB-02,Sun,1,0.5
G9-B02,T045,science,B-LAB-02,Mon,1,0.5
G9-B02,T045,science,B-LAB-01,Tue,1,0.5
G9-B02,T045,science,B-LAB-02,Wed,1,0.5
G9-B02,T045,science,B-LAB-02,Thu,1,0.5
G9-B02,T045,science,B-LAB-02,Sun,2,0.5
